rewardAC,¶ÜÊ×Ë®Æ½Æ«²î,¶ÜÖÐË®Æ½Æ«²î,¶ÜÎ²Ë®Æ½Æ«²î,¶ÜÊ×´¹Ö±Æ«²î,¶ÜÖÐ´¹Ö±Æ«²î,¶ÜÎ²´¹Ö±Æ«²î,time/s
83.9522,10.63,19.57,17.17,16.1,18.05,19.24,10.4636684
-27.58615,-19.68,-11.31,-42.47,15.22,18.07,19.81,10.440916
644.8018,-11.17,-17.19,-20.82,12.33,17.31,20.36,41.081932
-50.1984625,-23.69,-9.45,-37.42,4.74,-17.05,-30.34,23.1383669
162.0078375,1.61,26.07,4.47,4.98,-17.04,-30.47,22.8604677
116.633,5.09,25.06,1.06,16.21,18.64,16.93,12.1477621
-8.5208,11.49,18.37,19.81,4.45,-17.05,-30.17,23.2092862
-51.8594875,-18.51,-13.04,-29.91,5.03,-16.06,-32.16,24.7947315
-69.5467,-25.17,-8.93,-35.85,5.03,-16.6,-29.79,26.737095
200.3309,1.21,25.98,4.58,4.51,-17.06,-30.22,23.0646422
89.70285,10.69,19.56,17.13,16.49,18.03,18.98,10.703074
119.32465,5.07,25.09,1.13,16.67,18.63,16.64,12.3138966
643.79005,-11.5,-17.22,-20.67,13.08,17.39,20.03,41.121643
14.6832,6.58,24.72,-0.71,12.82,18.24,21.57,6.6970193
-50.210175,-23.32,-9.39,-37.55,5.08,-17,-30.46,23.0709886
7.2703,6.88,18.26,22.49,8.04,-17.19,-32.59,21.1620379
-46.4856375,-23.31,-9.49,-37.69,4.4,-17.1,-30.21,22.987836
-11.449975,13.06,18.44,18.98,6.05,-17.06,-31.16,22.6273861
216.422275,0.93,26.11,4.91,5.33,-16.95,-30.54,23.3305915
72.538575,-9.26,-5.65,-39.97,11.02,17.2,20.97,41.1114875
247.520625,-6.06,-5.16,-41.09,10.56,17.13,21.14,41.0514881
-48.704175,-23.14,-9.38,-37.65,5.04,-17,-30.44,23.3188686
116.4224,4.57,25.17,1.4,17.54,18.01,18.3,12.2250794
119.284,5.65,25.15,0.71,16.02,18.03,19.27,12.4381209
227.8431,-5.93,17.69,29.36,3.11,-17.18,-29.56,23.1775459
628.17855,-11.02,-17.16,-20.87,12.76,17.35,20.17,41.119818
-36.9139625,-20.97,-11.06,-41.35,14.93,18.05,19.96,12.011625
207.5172375,1.6,26.1,4.52,4.67,-17.01,-30.24,23.239042
116.4988,4.88,25.06,1.2,16.3,18.64,16.87,12.1735779
-58.808275,-16.04,-10.16,-42.97,17.72,18,18.17,17.8075659
608.08205,-11.56,-17.27,-20.76,12.72,17.39,20.25,41.064502
104.00695,10.7,19.56,17.12,17.14,18.02,18.55,11.6252164
116.3379,4.62,25.16,1.37,18.01,18,18,12.5567902
615.895275,-11.36,-17.24,-20.84,12.98,17.42,20.13,41.0198846
17.5611,6.34,24.76,-0.49,12.89,18.22,21.5,6.9942238
257.0040875,-0.27,25.95,5.41,5.34,-16.98,-30.61,23.1242089
247.6989875,0.63,25.96,4.89,4.62,-17.05,-30.27,23.2200325
-61.9796875,-23.86,-9.11,-36.86,6.57,-16.7,-30.89,25.3947922
-35.37645,-26.81,-10.99,-37.69,14.32,18.07,20.35,11.5867222
215.4543125,0.82,26.07,4.94,4.11,-17.04,-29.94,23.1261671
-61.2881875,-22.49,-8.93,-37.44,6.5,-16.62,-30.73,25.7611638
113.5287,4.68,25.19,1.38,17.61,18.01,18.26,12.1073753
116.56275,4.66,25.19,1.39,17.77,18,18.15,12.1995678
-35.6122375,-19.78,-11.13,-42.09,15.13,18.05,19.83,11.738013
171.9081,1.59,26.1,4.52,4.72,-17.01,-30.27,23.3734003
116.5687,5.02,25.09,1.16,16.96,18.63,16.46,12.2121937
-135.2424125,-23.17,-8.07,-35.84,15.45,17.79,19.22,32.6600105
-2.66605,18.1,18.49,16.08,-13.1,-18.08,-21.15,12.3325173
-49.4131125,-23.76,-9.41,-37.31,4.08,-17.04,-29.92,23.2838528
-17.478825,-21.69,-10.99,-40.79,-8.27,-18.16,-24.18,12.1764476
119.44935,4.75,25.19,1.33,18.11,18,17.94,12.3642531
112.80915,10.28,19.56,17.39,17.68,18.01,18.2,12.235774
8.5885875,14.81,18.52,18.09,-6.09,-17.86,-25.06,17.6288594
12.2745,-12.38,-18.1,-21.59,15.41,18.04,19.64,12.4354105
-63.472275,-20.7,-8.43,-37.84,5.77,-16.41,-29.94,28.612761
17.6373,6.67,24.64,-0.72,12.37,18.79,19.51,6.9237947
310.97835,-6.96,-5.32,-40.83,10.53,17.14,21.17,41.0683674
-8.99335,16.21,18.52,17.27,-11.86,-18.11,-21.95,12.3551351
160.7623125,6.96,-8.36,-54.32,4.14,17.44,25.56,23.1608243
-47.1639375,-19.06,-10.66,-41.7,16.13,18,19.14,15.1826403
-34.3601625,-18.91,-11.05,-42.48,15.38,18.04,19.66,12.3925263
115.50795,10.27,19.56,17.4,17.81,18,18.12,12.1880628
24.9135,-12.08,-18.07,-21.68,15.41,18.01,19.57,12.4893757
119.46635,4.3,25.22,1.67,18.14,18,17.92,12.3465721
201.8762125,1.86,26.35,4.63,7.09,-16.55,-30.98,26.3238177
14.7744,6.77,24.61,-0.85,12.25,18.81,19.6,6.6510003
116.7019,4.66,25.19,1.39,17.7,18.01,18.2,12.3022207
115.7713,10.49,19.55,17.25,17.91,18,18.06,12.1835799
204.0905125,2.79,-3.97,-44.53,0.22,15.87,25.42,41.0981657
119.40735,4.54,25.22,1.52,17.96,18,18.04,12.3342732
116.57655,5.16,25.06,1.02,16.46,18.63,16.77,12.1817616
-27.12365,-12.54,-18.1,-21.49,15.82,18.03,19.38,12.2966164
258.715625,1.61,26.64,5.12,7.43,-16.22,-30.65,28.6677847
-28.4082625,-12.56,-18.11,-21.49,14.88,18.05,19.98,12.0887965
644.7876,-10.85,-17.14,-20.94,11.7,17.23,20.62,41.0568205
-31.380975,-24.5,-10.93,-38.97,9.2,18.11,23.54,12.3191456
124.3170875,7.42,-8.34,-54.57,2.11,17.36,26.67,23.1156906
605.8926,-11.43,-17.26,-20.82,12.27,17.34,20.44,41.0921716
116.64985,9.54,24.98,-1.77,12.05,18.7,19.57,12.2115237
118.5542,10.28,19.55,17.39,17.81,18,18.12,12.3480133
-39.4942,-17.29,-14.16,-32.28,-25.63,-17.28,-15.42,12.1963491
225.595675,7.13,-17.65,-32.77,6.9,17.83,24.49,17.8543267
115.9218,10.72,19.55,17.11,17.09,18.01,18.58,12.2228455
80.6905875,-7.06,-14.32,-38.77,-15.74,-17.42,-21.67,12.3913897
566.386925,-11.4,-17.26,-20.83,13.87,17.53,19.76,41.0594651
648.23885,-11.01,-17.2,-20.98,11.99,17.3,20.54,41.1277835
34.787025,-11.17,-11.11,-47.39,-15.03,-18.04,-19.88,12.3333915
194.1230375,1.43,25.99,4.46,4.04,-17.08,-29.96,23.1075425
119.55725,5.42,25.08,0.91,16.17,18.64,16.96,12.4210369
-120.451675,-16.79,-6.55,-36.79,12.19,17.34,20.49,41.0808799
191.9855875,1.66,26.07,4.45,4.74,-17.05,-30.34,23.2594766
144.7444875,6.24,-8.38,-53.93,3.19,17.4,26.08,23.1178148
199.27335,1.51,26.1,4.57,4.37,-17.03,-30.08,23.2534964
32.4275125,-11.92,-11.1,-46.92,-15.32,-18.04,-19.7,12.1440473
645.5014,-11.04,-17.21,-20.97,11.83,17.28,20.61,41.1283421
14.70265,6.69,24.69,-0.85,12.64,18.26,21.71,6.6624638
73.4193375,-7.48,-14.31,-38.51,-16.18,-17.41,-21.4,12.4101449
-5.547875,18.81,18.47,15.61,-14.48,-18.08,-20.32,12.2813956
333.4486875,7.59,-3.89,-47.4,8.84,16.98,21.94,39.5829101
68.9903875,-7.96,-14.35,-38.28,-15.39,-17.43,-21.91,12.1360193
145.23095,8.78,-6.96,-53.37,1.99,17.03,26.21,29.0052879
286.6704875,1.05,26.63,5.46,8.83,-16.16,-31.41,28.8046215
