rewardAC,盾首水平偏差,盾中水平偏差,盾尾水平偏差,盾首垂直偏差,盾中垂直偏差,盾尾垂直偏差,time/s
638.1333500000001,-0.6699999999999875,27.060000000000002,7.210000000000008,-1.1200000000000045,16.129999999999995,26.650000000000006,39.158566500000006
67.79634999999999,-6.3700000000000045,-17.860000000000014,-24.879999999999995,-3.2700000000000102,17.69999999999999,30.5,18.3530879
109.87867499999983,11.310000000000002,18.150000000000006,19.460000000000008,-11.219999999999999,-17.310000000000002,-21.00999999999999,41.476882
14.687200000000015,6.77000000000001,24.669999999999987,-0.960000000000008,12.599999999999994,18.27000000000001,21.75999999999999,7.233736899999997
-12.517600000000003,-21.349999999999994,-11.620000000000005,-42.05000000000001,11.759999999999991,18.25999999999999,22.22999999999999,8.6107552
-19.001200000000004,-12.969999999999999,-18.069999999999993,-21.189999999999998,12.47999999999999,18.060000000000002,21.460000000000008,13.877755400000012
41.899400000000014,8.060000000000002,24.69999999999999,-1.490000000000009,-15.509999999999991,-18.099999999999994,-19.680000000000007,8.479318500000005
217.29927499999994,-5.069999999999993,25.349999999999994,7.710000000000008,-4.949999999999989,-17.909999999999997,-25.819999999999993,18.1010651
24.981874999999995,13.169999999999987,19.50999999999999,15.469999999999999,12.580000000000013,18.22,21.659999999999997,8.554106000000019
-7.1446499999999995,-12.530000000000001,-18.180000000000007,-21.590000000000003,13.830000000000013,18.129999999999995,20.710000000000008,8.948445700000008
35.55927500000001,-12.900000000000006,-18.22999999999999,-21.47,14.110000000000014,18.159999999999997,20.620000000000005,8.752747099999993
-52.688387500000005,-11.370000000000005,-8.240000000000009,-43.120000000000005,-8.030000000000001,16.460000000000008,31.400000000000006,28.892451299999976
-105.43356249999998,-18.330000000000013,-6.8700000000000045,-36.47999999999999,-0.9099999999999966,15.939999999999998,26.22,41.5767156
-5.411662499999965,-2.680000000000007,-12.319999999999993,-38.41,1.3199999999999932,-16.28,-30.25,26.997848599999998
14.790000000000006,7.1200000000000045,24.55000000000001,-1.210000000000008,12.419999999999987,18.810000000000002,19.5,7.29235030000001
-12.727375000000002,8.840000000000003,19.28,18.02000000000001,3.6100000000000136,16.430000000000007,24.25,41.41410450000001
119.35494999999999,3.0999999999999943,25.090000000000003,2.3300000000000125,16.870000000000005,18.629999999999995,16.50999999999999,12.790790099999981
263.7201499999999,2.5200000000000102,-17.53,-29.72999999999999,4.009999999999991,17.659999999999997,25.97,19.97160679999996
-14.8634125,-23.02000000000001,-11.379999999999995,-40.69999999999999,-11.22999999999999,-18.25,-22.53,8.983450300000015
372.74521250000015,1.4000000000000057,17.389999999999986,24.310000000000002,1.3700000000000045,-16.389999999999986,-27.22,35.3487025
264.94904999999983,2.3000000000000114,-17.610000000000014,-29.77000000000001,9.539999999999992,17.819999999999993,22.879999999999995,20.010990200000037
29.043037500000008,-13.240000000000009,-11.189999999999998,-46.28,15.439999999999998,18.039999999999992,19.629999999999995,12.73568019999999
218.53555,-1.5500000000000114,-17.849999999999994,-27.75,16.05000000000001,17.960000000000008,19.099999999999994,18.385718300000008
-21.7148,17.159999999999997,18.569999999999993,16.72,-0.9499999999999886,-17.590000000000003,-27.75999999999999,22.194839600000023
218.74394999999998,-0.7599999999999909,-17.879999999999995,-28.330000000000013,16.439999999999998,17.99000000000001,18.930000000000007,18.12012569999996
218.59430000000003,-1.1399999999999864,-17.879999999999995,-28.099999999999994,16.639999999999986,17.99000000000001,18.810000000000002,18.106237100000044
-11.4277875,-15.169999999999987,-11.159999999999997,-45.05000000000001,15.409999999999997,18.039999999999992,19.650000000000006,12.836240299999986
269.87528749999996,2.3300000000000125,-12.539999999999992,-41.75,-3.5500000000000114,-16.710000000000008,-27.97999999999999,24.892138799999998
290.6305750000002,0.5300000000000011,25.94999999999999,4.939999999999998,-2.3600000000000136,17.939999999999998,27.120000000000005,24.87825710000004
-18.131437499999997,-16.080000000000013,-11.25,-44.650000000000006,15.819999999999993,18.039999999999992,19.400000000000006,12.717615600000045
91.19316249999997,10.310000000000002,25.0,-2.2700000000000102,-9.349999999999994,-18.150000000000006,-23.53,12.60374509999997
58.60712499999997,2.1500000000000057,-5.6200000000000045,-47.30000000000001,3.289999999999992,-16.099999999999994,-27.930000000000007,36.6478085
-11.154374999999995,-15.689999999999998,-11.199999999999989,-44.71000000000001,15.889999999999986,18.039999999999992,19.349999999999994,12.705957699999999
91.41962500000004,10.050000000000011,24.960000000000008,-2.1500000000000057,-9.090000000000003,-18.139999999999986,-23.669999999999987,12.571997399999987
98.40156250000001,10.319999999999993,25.0,-2.2700000000000102,-9.509999999999991,-18.150000000000006,-23.419999999999987,12.56908169999997
-17.375412500000003,-16.19999999999999,-11.240000000000009,-44.56999999999999,15.620000000000005,18.05000000000001,19.53,12.656250499999942
-1.9937874999999923,-15.159999999999997,-11.210000000000008,-45.150000000000006,15.740000000000009,18.039999999999992,19.44999999999999,12.71875250000005
115.36714999999998,-8.030000000000001,-18.159999999999997,-24.30000000000001,15.439999999999998,18.02000000000001,19.560000000000002,12.763392899999985
-19.649612500000007,-16.00999999999999,-11.25,-44.69999999999999,15.610000000000014,18.05000000000001,19.539999999999992,12.711531499999978
108.569625,10.050000000000011,24.860000000000014,-2.3400000000000034,-9.849999999999994,-18.169999999999987,-23.25,12.501405599999998
40.97207500000001,15.210000000000008,19.47,14.22999999999999,7.25,18.189999999999998,24.870000000000005,12.868856600000072
-7.570400000000003,-15.080000000000013,-11.159999999999997,-45.0,15.460000000000008,18.039999999999992,19.620000000000005,12.785367500000007
