seed,AR,FAD,Max,Min,Std,T1,T2,TS,SI
1_ddqn,133.2966116199533,17.02527516724955,547.7676333333333,-157.73002500000004,0.26351797716451686,7.5,7.5,0.16666666666666666,4.893956131944445
1_double_drqn,119.97660475475475,17.546278502144364,559.276875,-176.36179999999993,0.2723986294160236,6.833333333333333,6.833333333333333,5.0,3.7406869208333338
1_dqn,199.35408563563564,17.511106430860877,654.940716666667,-183.21159583333326,0.36072743102303667,26.400000000000002,26.400000000000002,20.133333333333333,5.308432158333333
1_dueling_ddqn,174.08989739322658,15.097742177437766,739.8384458333334,-211.75517499999998,0.26647124208226497,15.9,15.9,12.333333333333334,4.7593430833333334
2_ddqn,441.14522228895567,10.193109482011414,1492.5522833333341,-95.84582500000015,0.2099324784032115,12.666666666666666,25.600000000000005,17.866666666666667,13.361984527777777
2_double_drqn,334.2388233400067,13.432343540137438,1299.6958416666669,-211.63019166666666,0.22365298401042596,9.666666666666666,9.566666666666668,8.933333333333332,9.947618247222223
2_dqn,378.2608529154154,13.421665792002068,1556.2606500000002,-345.1011875000001,0.23824591333826142,12.733333333333334,33.199999999999996,7.066666666666666,9.503559530555556
2_dueling_ddqn,558.3627088630298,9.662339309160851,1647.2629791666661,-122.7031791666667,0.21171925274559064,26.03333333333333,25.8,26.0,12.675685852777775
SCA_ddqn,1970.591939247581,2.579373461667038,2386.365433333334,-18.701666666666657,0.08812956753438538,92.96666666666665,97.5,92.76666666666667,54.75831001350659
SCA_ddqn_noscale,1807.8685089422759,3.8322350205645095,2379.4624333333336,-80.45121666666667,0.10596772986087392,72.39999999999999,95.89999999999999,72.06666666666666,51.04175562070708
SCA_double_drqn,1754.9912198531865,2.952453008738876,2522.3386583333345,-16.924029166666674,0.18243089733684703,85.10000000000001,88.3,77.73333333333333,56.43322536805556
SCA_dqn,1772.3608483650316,4.2414042324524495,2433.930691666668,-164.37719166666668,0.16892016081737835,83.13333333333334,92.0,80.53333333333333,60.44451404861112
SCA_dueling_ddqn,1652.0597952118787,4.709518275418159,2438.6429666666677,-205.9471083333334,0.14352779833867976,72.3,86.46666666666665,66.93333333333332,26.668663158356107
SCA_gru,1351.1816376376378,7.733936599010008,2421.2464541666664,-235.01430416666673,0.19622611543445478,61.96666666666667,84.23333333333333,57.96666666666666,31.841911732158124
SC_ddqn,962.9283784159157,13.31287009206554,1908.3219124999998,-203.9478375000002,0.23917738472082253,34.833333333333336,66.73333333333333,31.400000000000002,17.395695434722224
cenddqn,638.0979638513514,9.855499075910238,2309.8790625,-289.3944458333333,0.26095814533491857,38.93333333333333,32.800000000000004,17.666666666666668,10.442007131944445
iql,532.1766806681682,9.369762797747681,1799.7823958333336,-433.6314916666667,0.2319992116588956,31.166666666666668,26.666666666666668,10.133333333333333,11.103010844444443
qmix,206.18166492325656,18.467014905761825,1349.5827499999996,-175.5569916666668,0.17310325988146555,11.433333333333335,7.2,3.433333333333333,4.667701070619658
vdn,732.2256068610277,9.253969718574284,1961.4587041666673,-57.20622916666672,0.17930590731840612,43.13333333333333,46.599999999999994,25.099999999999998,18.563211676388885
vdn_noscale,363.69736215382045,21.644156948345834,1523.4163,-468.2431625000004,0.30750406719904905,21.866666666666664,37.63333333333333,13.633333333333333,4.678754647222223
