model,seed,AR,FAD,Max,Min,Std,T1,T2,TS,SI
SCA_ddqn_noscale,0,2274.9480925550556,0.848530857877534,2684.1219000000015,-17.071712500000004,0.06516058833857535,97.9,98.1,97.7,76.95532008333335
cenddqn,0,594.2625976101102,10.58070922826866,2413.749899999999,-300.4483999999999,0.21664493290558878,40.3,20.5,9.3,12.0969184125
1_dqn,2,98.76532364864866,17.74417840521303,630.8530000000005,-217.51551250000003,0.2802883947306004,7.4,7.4,5.8,3.508447212500001
1_ddqn,2,102.99252852852852,18.68912949535823,465.79611250000016,-217.89991250000023,0.2562557031442453,0.1,0.1,0.0,5.449039450000002
1_double_drqn,2,110.30572344844845,18.20886018957465,662.79785,-208.37431249999983,0.2662409952878364,6.9,6.9,2.4,2.8882399833333343
1_dueling_ddqn,2,119.19862665165165,15.786365392294652,682.2156000000003,-217.6497249999998,0.19587872502514594,2.7,2.7,0.3,3.92555815
2_dqn,2,311.4151259009009,14.74990219933126,1619.2303000000006,-349.0175750000001,0.20596617574078382,8.0,36.9,1.6,10.486286604166667
2_ddqn,2,729.9589256256257,7.624477777889952,1635.527200000001,-27.440524999999997,0.21952338538144378,17.2,69.0,45.2,21.312383783333335
2_double_drqn,2,392.1813926676677,14.43564579719825,1318.33845,-266.5190125,0.32260823280447815,20.6,22.6,23.4,9.975617658333336
2_dueling_ddqn,2,706.6010191691693,8.942214935929394,1712.753849999999,-33.934987500000005,0.24105343146393307,26.2,58.9,40.2,13.720937979166665
SCA_dqn,2,1607.4021038163164,6.9426866737142445,2313.2303000000006,-29.408250000000006,0.1503386537395416,97.5,98.0,97.1,52.420223970833334
SC_ddqn,2,1324.1917498998998,8.315510336893913,2065.6616374999994,-79.38524999999998,0.2046032395694967,55.3,93.0,55.1,31.89812541666667
SCA_ddqn,2,1926.7227211086088,1.8893956034525696,2378.7817999999997,-17.08391249999999,0.10799131170478093,86.7,98.0,86.7,61.31193567083334
SCA_double_drqn,2,1632.2431016266266,4.531001548083443,2455.6274750000016,-10.832637500000011,0.1898044384067514,72.4,95.1,71.9,41.92084084583333
SCA_gru,2,1812.4930228603607,1.8473579330514716,2548.1740000000004,-25.681699999999996,0.14389300445698044,77.8,93.4,77.5,36.595322317307705
SCA_dueling_ddqn,2,1512.6532741116114,4.214743585520972,2470.260100000001,-254.37095000000028,0.158369882598226,70.4,84.0,61.3,36.40409105
qmix,2,99.08685163913914,18.229211286268164,1615.7677374999994,-140.25469999999999,0.08385771496404106,1.4,0.9,0.2,1.1268857076923078
vdn,2,814.990572947948,7.199530004729797,1960.7586875000006,-25.8520125,0.17654785297211179,43.9,56.0,27.0,19.87251808333333
vdn_noscale,2,471.30472956706706,21.840383773691816,1622.898225000001,-411.9902000000003,0.23808882775151893,21.3,57.6,19.5,3.102708750000001
iql,2,702.5498893518519,7.283311313451655,2192.6789999999996,-516.5445625,0.24622154046920136,33.1,59.5,23.9,12.533861941666665
SCA_ddqn_noscale,2,1528.599247997998,5.115093609074189,2209.5687,-36.624475,0.1220555053719814,48.2,95.8,48.2,48.71369593333335
cenddqn,2,622.5076837587588,9.503669936505872,2470.816700000002,-349.28852499999994,0.30377127715465463,30.2,32.0,14.9,3.7046405791666674
1_dqn,4,137.80109006506504,18.048574282806726,673.2857500000006,-118.48628749999988,0.32544750264397376,13.6,13.6,6.1,1.5181075708333331
1_ddqn,4,227.48720461711713,16.040094979317416,478.850475,-35.41298750000002,0.335991047655188,20.8,20.8,0.0,7.155560729166667
1_double_drqn,4,93.95602745245246,17.970915570009492,366.0091749999999,-139.4585875,0.22746880579612772,0.0,0.0,0.0,3.850670725
1_dueling_ddqn,4,281.81096781781787,13.800652183867038,703.2647500000002,-206.49287500000025,0.4041538899848384,39.5,39.5,32.5,6.705613783333334
2_dqn,4,463.23111928178184,10.610900612442794,1740.43755,-385.19128750000004,0.24923241334336327,30.2,21.3,18.7,7.782317250000002
2_ddqn,4,227.12869037787792,13.957287333399602,756.2464499999999,-30.583074999999994,0.23574758139338295,0.0,0.9,0.0,7.084679620833333
2_double_drqn,4,296.5357977852853,13.048718722911106,1385.7615500000004,-261.85256250000003,0.1598574394332413,7.7,1.0,2.0,9.646280133333333
2_dueling_ddqn,4,491.2246549174174,9.134257249525575,1631.59865,-69.65047500000003,0.18980221747108852,15.9,13.5,12.4,13.198113275
SCA_dqn,4,1443.8039899774774,5.334813538708275,2407.9039000000002,-478.802225,0.2943761975220364,52.9,79.3,45.8,52.33677125833332
SC_ddqn,4,706.9984486611611,16.785808743648698,1902.19355,-417.82451250000054,0.3241836060161459,27.2,39.5,17.3,11.800289866666668
SCA_ddqn,4,2113.817917142142,1.3252451834027492,2439.3511,-23.8012625,0.06039556559328566,97.1,96.9,96.6,52.198774301829275
SCA_double_drqn,4,1574.5616258758757,2.8008002827752785,2380.2049000000015,-49.255075000000005,0.18747546013319788,85.4,86.6,78.2,55.296534533333336
SCA_gru,4,1452.606853903904,6.129402927286745,2564.9437875,-19.86671250000002,0.2022421365226133,68.4,94.4,67.6,41.17504744166667
SCA_dueling_ddqn,4,1460.2351840840843,7.712034004231155,2104.1823000000004,-335.81555,0.10835813526496618,55.3,85.5,50.9,6.349614120901641
qmix,4,124.84679997497494,18.104841929182637,1032.8047999999997,-138.27128750000008,0.20659199028321315,3.3,4.1,1.0,2.6290878916666665
vdn,4,483.9744062812813,10.892049384314856,1939.0175999999997,-67.20575000000011,0.18428868494170755,32.4,19.2,7.5,12.275449874999998
vdn_noscale,4,151.88745128878878,26.613868835938916,1349.1843249999997,-689.7810875000006,0.36522685312929243,8.3,24.6,6.0,2.6772655000000003
iql,4,475.87817497497497,12.44792073319453,1916.2108875000008,-417.44882500000006,0.22984062338595354,46.1,8.9,5.2,9.091836691666666
SCA_ddqn_noscale,4,1620.0581862737736,5.533080594741806,2244.6967000000004,-187.6574625,0.13068709587206517,71.1,93.8,70.3,27.456250845454537
cenddqn,4,697.5236101851851,9.482118062956184,2045.070587499999,-218.44641250000006,0.26245822594451246,46.3,45.9,28.8,15.524462404166663
