rewardAC,rewardBD,盾首水平偏差,盾中水平偏差,盾尾水平偏差,盾首垂直偏差,盾中垂直偏差,盾尾垂直偏差,time/s
77.580025,-27.820800000000002,3.930000000000007,25.03,1.6299999999999955,13.219999999999999,18.710000000000008,19.330000000000013,9.77785
10.152650000000008,-26.287200000000002,6.72999999999999,25.069999999999993,0.009999999999990905,-12.849999999999994,-18.069999999999993,-21.25999999999999,13.043797099999999
345.76067500000005,229.96789999999996,1.3700000000000045,-17.24000000000001,-28.650000000000006,4.310000000000002,16.75,27.330000000000013,23.208497899999998
34.690000000000026,-16.19280000000001,5.039999999999992,24.810000000000002,0.46000000000000796,-12.689999999999998,-18.19999999999999,-21.560000000000002,8.046078000000001
-14.314899999999993,117.87079999999999,9.72999999999999,22.789999999999992,6.75,9.159999999999997,18.72999999999999,21.379999999999995,12.888357900000003
168.33191249999996,189.14600000000002,-0.7800000000000011,25.44999999999999,5.22999999999999,-2.789999999999992,18.52000000000001,28.72,16.337787200000008
185.43729999999996,188.48859999999996,-3.2700000000000102,-17.930000000000007,-26.939999999999998,-1.1399999999999864,17.27000000000001,31.620000000000005,15.874042100000011
35.688675,-18.2149,-18.349999999999994,-11.669999999999987,-43.94,-15.449999999999989,-18.090000000000003,-19.69999999999999,8.196026799999999
188.28999999999996,171.7272000000001,-3.3799999999999955,-17.939999999999998,-26.810000000000002,-3.009999999999991,17.889999999999986,30.639999999999986,16.026022499999996
-7.32517499999999,-20.2133,14.719999999999999,18.139999999999986,20.189999999999998,-14.580000000000013,-18.139999999999986,-20.25999999999999,8.3599672
-5.526012499999993,52.733000000000004,11.099999999999994,21.289999999999992,10.159999999999997,9.439999999999998,18.289999999999992,23.689999999999998,8.836971499999976
27.76004999999999,-20.211200000000005,-18.710000000000008,-11.610000000000014,-43.610000000000014,-15.099999999999994,-18.099999999999994,-19.930000000000007,8.516354200000023
292.66072499999996,371.9854999999999,-0.46000000000000796,26.810000000000002,6.5800000000000125,-3.6999999999999886,-16.78,-24.77000000000001,31.795431700000023
185.2753,169.32229999999998,-3.6699999999999875,-17.97,-26.680000000000007,-3.0600000000000023,17.919999999999987,30.72,15.864683600000006
149.28819999999996,-13.945699999999999,-0.37000000000000455,18.169999999999987,29.409999999999997,-13.009999999999991,-18.039999999999992,-21.060000000000002,13.222011199999997
86.47269999999997,-18.97180000000001,5.5800000000000125,18.319999999999993,26.039999999999992,-15.400000000000006,-18.069999999999993,-19.650000000000006,10.539528499999989
46.95520000000001,-22.204099999999997,9.650000000000006,18.310000000000002,23.560000000000002,-15.030000000000001,-18.120000000000005,-19.94999999999999,8.520228400000008
615.640175,558.6425000000004,0.47999999999998977,27.159999999999997,6.8300000000000125,0.789999999999992,-16.060000000000002,-26.340000000000003,36.32135499999998
15.562000000000005,-22.2109,6.189999999999998,24.789999999999992,-0.27000000000001023,-15.02000000000001,-18.110000000000014,-19.99000000000001,8.504097800000011
177.9226,157.84259999999998,-12.419999999999987,-10.509999999999991,-45.53999999999999,-3.9000000000000057,17.879999999999995,31.169999999999987,16.143802499999993
188.33870000000002,159.97469999999998,-3.3300000000000125,-17.939999999999998,-26.840000000000003,-3.5600000000000023,17.879999999999995,30.97,16.011317599999984
181.83427500000005,157.80790000000005,-12.330000000000013,-10.47999999999999,-45.53999999999999,-3.6399999999999864,17.889999999999986,31.02000000000001,16.218250900000044
299.7163250000001,448.18819999999994,-13.139999999999986,-8.039999999999992,-41.72999999999999,1.6699999999999875,-16.710000000000008,-27.919999999999987,28.831373999999983
191.30130000000008,159.89359999999996,-3.259999999999991,-17.939999999999998,-26.879999999999995,-3.6299999999999955,17.879999999999995,31.00999999999999,16.188724699999966
190.66810000000004,151.20619999999994,-2.780000000000001,-17.879999999999995,-27.159999999999997,-3.990000000000009,17.180000000000007,33.19999999999999,16.3554173
459.0039,485.23620000000017,-3.960000000000008,-12.300000000000011,-34.599999999999994,1.6399999999999864,-15.719999999999999,-29.5,30.72129179999996
183.99360000000001,166.21580000000006,-11.819999999999993,-10.409999999999997,-45.75,-3.960000000000008,17.849999999999994,31.159999999999997,16.483124799999985
515.7818,546.2897000000002,-2.030000000000001,-11.699999999999989,-34.84,1.5200000000000102,-15.419999999999987,-28.94999999999999,33.81657999999999
306.6552,447.2014,-11.509999999999991,-7.939999999999998,-42.55000000000001,1.710000000000008,-16.710000000000008,-27.939999999999998,29.13100750000001
151.19095,56.9679,-3.6299999999999955,18.0,31.129999999999995,-14.759999999999991,-18.0,-19.930000000000007,14.908821400000079
114.8370999999998,682.1673999999996,4.240000000000009,27.819999999999993,5.819999999999993,1.4699999999999989,-15.719999999999999,-26.19999999999999,39.44614450000006
195.72230000000005,150.20909999999998,0.6100000000000136,21.47,16.97,-4.469999999999999,17.840000000000003,31.44999999999999,16.160645799999998
176.00775,161.23209999999995,-12.340000000000003,-10.419999999999987,-45.44999999999999,-4.009999999999991,17.849999999999994,31.189999999999998,16.46809959999996
394.04364999999973,491.95040000000023,-10.490000000000009,-7.27000000000001,-42.22,1.6399999999999864,-16.47,-27.53,31.79036789999998
193.3645,142.79719999999998,0.7199999999999989,21.460000000000008,16.889999999999986,-4.900000000000006,17.80000000000001,31.639999999999986,16.1582621
179.94920000000002,156.0014,-11.990000000000009,-10.439999999999998,-45.71000000000001,-4.449999999999989,17.840000000000003,31.439999999999998,16.618605600000024
35.2328,-30.230199999999996,5.889999999999986,24.830000000000013,0.060000000000002274,-15.870000000000005,-18.069999999999993,-19.409999999999997,9.120373099999938
